presbytery,for,against,item
Great Lakes,52.0,2.0,Item 7
Gulf Coast,27.0,10.0,Item 7
Gulfstream,35.0,0.0,Item 7
Heartland,23.0,0.0,Item 7
Heritage,23.0,17.0,Item 7
Highlands,16.0,35.0,Item 7
Hills and Plains,,,Item 7
Houston Metro,37.0,12.0,Item 7
Illiana,15.0,0.0,Item 7
Iowa,,,Item 7
James River,40.0,39.0,Item 7
Korean Capital,,,Item 7
Korean Central,,,Item 7
Korean Eastern,,,Item 7
Korean Northeastern,,,Item 7
Korean Northwest,,,Item 7
Korean Southeastern,,,Item 7
Korean Southern,,,Item 7
Korean Southwest,,,Item 7
Korean Southwest OC,,,Item 7
Lowcountry Presbytery,13.0,15.0,Item 7
Metro Atlanta,0.0,1.0,Item 7
Metropolitan New York,2.0,21.0,Item 7
Mississippi Valley,80.0,5.0,Item 7
Missouri,,,Item 7
Nashville,,,Item 7
New Jersey,21.0,0.0,Item 7
New River,4.0,6.0,Item 7
New York State,4.0,25.0,Item 7
North Florida,25.0,1.0,Item 7
North Texas,55.0,36.0,Item 7
Northern California,0.0,34.0,Item 7
Northern Illinois,2.0,26.0,Item 7
Northern New England,,,Item 7
Northwest Georgia,23.0,12.0,Item 7
Ohio,14.0,3.0,Item 7
Ohio Valley,28.0,9.0,Item 7
Pacific,1.0,0.0,Item 7
Pacific Northwest,21.0,25.0,Item 7
Palmetto,28.0,36.0,Item 7
Pee Dee,7.0,31.0,Item 7
Philadelphia,,,Item 7
Philadelphia Metro West,,,Item 7
Piedmont Triad,16.0,20.0,Item 7
Pittsburgh,10.0,34.0,Item 7
Platte Valley,5.0,10.0,Item 7
Potomac,7.0,37.0,Item 7
Providence,43.0,8.0,Item 7
Rio Grande,0.0,1.0,Item 7
Rocky Mountain,55.0,17.0,Item 7
Savannah River,22.0,17.0,Item 7
Siouxlands,27.0,1.0,Item 7
South Coast,38.0,12.0,Item 7
South Florida,,,Item 7
South Texas,6.0,43.0,Item 7
Southeast Alabama,42.0,1.0,Item 7
Southern Louisiana,1.0,17.0,Item 7
Southern New England,35.0,19.0,Item 7
Southwest Florida,4.0,54.0,Item 7
Suncoast Florida,,,Item 7
Susquehanna Valley,29.0,14.0,Item 7
Tennessee Valley,34.0,25.0,Item 7
Tidewater,5.0,34.0,Item 7
Warrior,0.0,1.0,Item 7
West Hudson,1.0,0.0,Item 7
Westminster,6.0,22.0,Item 7
Wisconsin,25.0,1.0,Item 7
Arizona,31.0,0.0,Item 8
Ascension,35.0,0.0,Item 8
Blue Ridge,1.0,0.0,Item 8
Calvary,93.0,0.0,Item 8
Canada West,25.0,0.0,Item 8
Catawba Valley,38.0,0.0,Item 8
Central Carolina,51.0,0.0,Item 8
Central Florida,61.0,0.0,Item 8
Central Georgia,38.0,0.0,Item 8
Central Indiana,,,Item 8
Chesapeake,12.0,46.0,Item 8
Chicago Metro,43.0,0.0,Item 8
Columbus Metro,,,Item 8
Covenant,73.0,1.0,Item 8
Eastern Canada,,,Item 8
Eastern Carolina,52.0,0.0,Item 8
Eastern Pennsylvania,24.0,1.0,Item 8
Evangel,,,Item 8
Fellowship,37.0,0.0,Item 8
Georgia Foothills,1.0,0.0,Item 8
Grace,41.0,0.0,Item 8
Great Lakes,46.0,1.0,Item 8
Gulf Coast,37.0,0.0,Item 8
Gulfstream,35.0,0.0,Item 8
Heartland,12.0,10.0,Item 8
Heritage,35.0,0.0,Item 8
Highlands,55.0,0.0,Item 8
Hills and Plains,,,Item 8
Houston Metro,50.0,0.0,Item 8
Illiana,16.0,0.0,Item 8
Iowa,,,Item 8
James River,13.0,61.0,Item 8
Korean Capital,,,Item 8
Korean Central,,,Item 8
Korean Eastern,,,Item 8
Korean Northeastern,,,Item 8
Korean Northwest,,,Item 8
Korean Southeastern,,,Item 8
Korean Southern,,,Item 8
Korean Southwest,,,Item 8
Korean Southwest OC,,,Item 8
Lowcountry Presbytery,34.0,0.0,Item 8
Metro Atlanta,1.0,0.0,Item 8
Metropolitan New York,32.0,0.0,Item 8
Mississippi Valley,86.0,0.0,Item 8
Missouri,,,Item 8
Nashville,,,Item 8
New Jersey,21.0,0.0,Item 8
New River,1.0,0.0,Item 8
New York State,29.0,0.0,Item 8
North Florida,25.0,0.0,Item 8
North Texas,,,Item 8
Northern California,34.0,0.0,Item 8
Northern Illinois,28.0,0.0,Item 8
Northern New England,,,Item 8
Northwest Georgia,33.0,0.0,Item 8
Ohio,16.0,0.0,Item 8
Ohio Valley,37.0,1.0,Item 8
Pacific,1.0,0.0,Item 8
Pacific Northwest,46.0,0.0,Item 8
Palmetto,65.0,3.0,Item 8
Pee Dee,33.0,2.0,Item 8
Philadelphia,,,Item 8
Philadelphia Metro West,,,Item 8
Piedmont Triad,40.0,0.0,Item 8
Pittsburgh,46.0,2.0,Item 8
Platte Valley,22.0,0.0,Item 8
Potomac,66.0,0.0,Item 8
Providence,51.0,0.0,Item 8
Rio Grande,1.0,0.0,Item 8
Rocky Mountain,70.0,0.0,Item 8
Savannah River,38.0,0.0,Item 8
Siouxlands,30.0,0.0,Item 8
South Coast,45.0,5.0,Item 8
South Florida,,,Item 8
